57e419f1	Vit byrå 118 cm med sex lådor – runda knoppar och tippskydd
61ae7313	Cloud soffa i beige manchester, 245 cm – modulär, två delar och två kuddar
e81fc121	Manchestersoffa 2-sits i grönt – 134 cm, fickfjädrar och ben i gummiträ
e74feea1	Smyckesskåp med spegel och LED – 120 cm, för dörr eller vägg, låsbart
00ba5823	Köksskåp svart 180 cm – mjukstängande dörrar, låda, öppna fack och hylla
33cde470	Golvfåtölj i grå sammet som blir bädd – ryggstöd i tre lägen, 102 cm
dad09721	Julgran för utomhus, 2-pack – 60 cm med färgade LED och jordspett
087cb4b8	Frisörpall i svart konstläder med ryggstöd – hjul, sitthöjd 47,5–63 cm
af6f39a6	Sideboard svart med skiva i träton, 110 cm – låda, skåp och tre öppna fack
90c30789	Badrumsspegel med belysning 70 × 100 cm – antimist, tre ljusfärger och touch
d1026aaa	Helkroppsspegel med belysning 40 × 120 cm – ramlös, dimbar LED och touch
6e1378d6	Elkamin brun med hylla, 80 cm – 1800 W, 3D-lågor, fjärrkontroll och timer
181a3522	Vedhylla i svart stål, 60 × 25 × 150 cm – för inne och ute, bär 100 kg
99ab915a	Uppresningsfåtölj i mörkgrå chenille – massage, ländvärme och 155° liggläge
b15b7854	Gunghäst i grått med ljud – handtag, stigbyglar och medar i trä, 12–36 mån
bdc28a4b	Grön kontorsstol i linnelook – bred sits, vippfunktion och sitthöjd 48–58 cm
cfdbd5e9	Ljusgrå kontorsstol i mesh – fotstöd, nackstöd och ryggstöd som lutar till 135°
bb45be9d	Redskapsbod med fönster 260 × 177 cm – galvaniserat stål, 4,13 m², ljusgrå
9e157d1d	Litet förråd i ljusgrönt stål, 100 × 103 cm – 0,92 m² och låsbar dörr
