29b8fb0c	1	Två barstolar i vitt gummiträ med X-formad ryggbåge och sits i ekfärgat trä, sedda snett framifrån mot vit bakgrund
29b8fb0c	2	Två vita barstolar med träsits står vid en köksö i ett ljust kök med öppna hyllor och keramik
29b8fb0c	3	Måttskiss som visar barstolens sitthöjd 60 cm och totalhöjd 96 cm, med märkning för 120 kg belastning
29b8fb0c	4	Två vita barstolar med träsits vid ett köksbord med fruktskål, med fönster och ljus vägg bakom
29b8fb0c	5	Närbild på sitsen i ekfärgat trä och den vita X-formade ryggbågen
313117c8	1	Två svarta barstolar i rutmönstrad sammetslook med gaslift, rund fotplatta och fotring, mot vit bakgrund
313117c8	2	Två svarta barstolar vid en köksbardisk med frukostuppdukning och ljusa skåp
313117c8	3	Måttskiss med sitthöjd 60–81 cm, totalhöjd 83–104 cm och sits på 46 cm
313117c8	4	Närbild på den rutmönstrade sitsen och det svängda ryggstödet i svart sammetslook
313117c8	5	Närbild på den runda svarta fotplattan, gasliften och fotringen
a0c1af46	1	Två grå klädda barstolar med svängt ryggstöd och svarta metallben, sedda framifrån och från sidan mot vit bakgrund
a0c1af46	2	Ett par sitter och pratar vid en köksö på två grå barstolar med svarta ben
a0c1af46	3	Måttskiss som visar sitthöjd 63 cm och ryggstödets höjd, med märkning för 120 kg belastning
a0c1af46	5	Två grå barstolar vid en köksö där två personer står och lagar mat i bakgrunden
f61517b6	1	Två barstolar i gräddvit manchester med svarta metallben, sedda snett framifrån mot vit bakgrund
f61517b6	2	Två gräddvita barstolar vid en köksö i mörkt trä med krukväxt och ljusa väggar
f61517b6	3	Måttskiss med sitthöjd 65 cm samt ryggstödets och sitsens mått
f61517b6	4	Kvinna sitter på en gräddvit barstol vid en köksbardisk och bläddrar i en tidning
f61517b6	5	Kvinna arbetar vid en bärbar dator på en gräddvit barstol vid köksön
856d1d1d	1	Två barstolar i ljusgrå linnelook med svängd rygg och svarta metallben, sedda framifrån mot vit bakgrund
856d1d1d	2	Två ljusgrå barstolar vid en köksö i ett ljust kök med diskho och öppna hyllor
856d1d1d	3	Måttskiss med sitthöjd 68 cm och totalhöjd 93 cm, med märkning för 120 kg belastning
856d1d1d	4	Kvinna sitter på en ljusgrå barstol vid en köksbardisk och bläddrar i en tidning
856d1d1d	5	Kvinna arbetar vid en bärbar dator på en ljusgrå barstol vid köksön
032b6e93	1	Två armlösa barstolar med sits och rygg i ljust trä på svarta stålben, sedda framifrån mot vit bakgrund
032b6e93	2	Två barstolar i trä och svart stål vid en ljus bänkskiva med fönster bakom
032b6e93	3	Måttskiss med sitthöjd 66 cm och totalhöjd 103 cm, med märkning för 120 kg belastning
032b6e93	4	Två barstolar i trä vid en köksö med blommor och öppna hyllor i bakgrunden
032b6e93	5	Barstolar i trä uppradade vid en bardisk i mörkt trä
709da650	1	Två barstolar i svart fleece med rund sits och låg svängd rygg, sedda framifrån mot vit bakgrund
709da650	2	Två svarta barstolar vid en köksbänk med diskho och krukväxt
709da650	3	Måttskiss med sitthöjd 68 cm, rund sits Ø46 cm och totalhöjd 95 cm, med märkning för 120 kg belastning
709da650	4	Kvinna sitter med en kopp på en svart barstol vid en köksbardisk
709da650	5	Kvinna arbetar vid en bärbar dator på en svart barstol med rund sits
239b20b7	1	Närbild på sadelsitsen i mörkbrunt almträ bredvid en hel barstol med svart pelare och rund fot, mot vit bakgrund
239b20b7	2	Ett par sitter och samtalar vid en köksbänk på barstolar med sadelsits
239b20b7	3	Måttskiss med sitthöjd 61–82 cm, sits 40 × 30 cm och fot Ø41 cm, med märkning för 120 kg belastning
239b20b7	4	Barstolar med sadelsits uppradade vid en bardisk i mörkt trä
239b20b7	5	Barstol med sadelsits i almträ, svart pelare och rund fotplatta, sedd från sidan mot vit bakgrund
