516dfd7c	Stegpall barn 2 steg – pall till barn i trä | Fyndplats	Pall till barn med 2 steg som hjälper barnet att nå handfat och köksbänk själv. Rundade kanter och slät finish, bär 20 kg per steg. Från 3 år, vit.
e0b154ec	Handdammsugare bil & hem – sladdlös, 30000 Pa | Fyndplats	Handdammsugare för bil och hem – sladdlös, med borstlös motor och upp till 30 000 Pa sugkraft. Suger och blåser, laddas med USB-C och har flera munstycken.
47a91a17	Smal vinkyl 12 flaskor – bara 26,5 cm bred | Fyndplats	Smal vinkyl för 12 flaskor, bara 26,5 cm bred. Kompressor, 8–18 °C, 37 dB och glasdörr med UV-skydd. Energiklass E (A–G), 75 kWh per år.
d3cf8ebc	Sparkcykel trehjuling barn 2–6 år – LED-hjul | Fyndplats	Trehjulig sparkcykel för barn 2–6 år med LED-hjul som lyser i 3 färger. Justerbar höjd (63–76 cm), hopfällbar och bakbroms. Max 25 kg. Blå.
4a14c839	Mekställ cykel – hopfällbart reparationsställ | Fyndplats	Hopfällbart mekställ och reparationsställ för cykel – 360° klämma (upp till 6,5 cm), justerbar höjd, aluminiumstativ, verktygsbricka och väska.
732cd951	Elementskydd med hylla – elementhylla i MDF | Fyndplats	Elementskydd med hylla i MDF, 172 cm – radiatorskydd och elementhylla i ett. Spjälad front som släpper igenom värmen, och en hylla för växter och ramar. Vitt.
4c97bd93	Stapelbara pallar i trä, 4-pack – stoppad sits | Fyndplats	Stapelbara pallar i trä, 4-pack med mjukt stoppad sits och björkben. Filttassar skyddar golvet, tål 120 kg. Smidig extra sittplats som sparar plats.
548d70fd	Mountainbike 20 tum för barn – MTB med 7 växlar | Fyndplats	Mountainbike 20 tum för barn – en 7-växlad MTB med stålram, höjdjusterbar sadel och stänkskärmar. Passar längd ca 130–150 cm. Välj grön eller röd.
7099a9fa	Skötbord för vägg – vägghängt och fällbart | Fyndplats	Väggmonterat skötbord i tålig HDPE – vägghängt och fällbart, med säkerhetsbälte och krokar. Mjuk dämpad fällning som sparar plats hemma och i offentlig miljö.
d5f6bab3	Staffli barn – dubbelsidigt ritstativ & rittavla | Fyndplats	Staffli för barn med whiteboard och svart tavla – ett dubbelsidigt ritstativ som är magnetiskt och höj- och sänkbart (68–97 cm). Komplett set med tillbehör.
db1dd65c	Vattenavskiljare diesel 500FG – bränslefilter | Fyndplats	Bränslefilter med vattenavskiljare för diesel – 500FG med genomskinlig kåpa och 60 GPH flöde. Fångar vatten och partiklar. För båt, lastbil och dieselmotor.
98fc0af4	Skrivbord 120 cm i ekfärg med metallben | Fyndplats	Skrivbord 120 cm i ekfärg – stilrent datorbord med melaminskiva, metallben och justerbara fötter. Stor arbetsyta som bär upp till 100 kg.
816e745c	Elcross barn Honda CRF450RL 6V – trehjuling | Fyndplats	Trehjulig elcross för barn 1–3 år med officiell Honda CRF450RL-licens. 6V, 3 km/h, motorljud och tuta. 71 cm lång, max 25 kg.
40955353	Racingstativ för ratt och pedaler – hopfällbart | Fyndplats	Hopfällbart racingstativ för ratt, pedaler och växelspak – X-ram i kolstål, pedalvinkel 3–17° och förborrade hål för Logitech, Thrustmaster och Fanatec.
c38f528f	Svarvstål HSS 12 delar – set i trälåda | Fyndplats	Svarvstål i HSS, 12 delar för träsvarvning – finslipade eggar, trähandtag med mässingshylsor och trälåda med skuminsats. Från skålstål till triangelknivar.
1d3f6755	Klätterklossar barn – mjuka byggklossar, 5 delar | Fyndplats	Fem mjuka skumklossar i blått, grönt och grått för klättring och lek, 1–3 år. Kub, block, cylinder, halvcylinder och ramp – klara att använda direkt.
