10fe3278	1	Pokerset i en öppen silverfärgad väska med marker, kortlekar och kortutdelare, bredvid en kortblandare och en grön spelmatta med tärningar
10fe3278	2	Två personer spelar kort vid ett bord med den gröna spelmattan, marker och kortblandaren
10fe3278	3	Måttbild: väskan är 36 × 30 cm och spelmattan 90 × 60 cm
5fce6a95	1	Tomt vedställ i svart stål, sett snett framifrån
5fce6a95	2	Vedstället fyllt med kluven ved mot en vit panelvägg
5fce6a95	4	Närbild på ett hörn av vedställets ram i svartlackerat stål
5fce6a95	5	Närbild på tvärstagen mellan vedställets ramar
5fce6a95	3	Måttbild: vedstället är 60 × 25 × 100 cm
cc5b0c14	1	Spökdocka med långt svart hår, röda lysande ögon och trasig beige klänning
cc5b0c14	2	Spökdockan framför ett mörkt, övergivet hus i skogen
cc5b0c14	4	Närbild på spökdockans klohand och trasiga klänning med grön gasväv
cc5b0c14	5	Spökdockan sittande på golvet bredvid en lykta och pumpor
cc5b0c14	3	Måttbild: spökdockan är 83 cm hög
e797e8a4	1	Tvättkorg i bambu med ribbor, lock och vit tvättpåse
e797e8a4	2	Tvättkorgen i ett sovrum bredvid ett vitt sängbord
e797e8a4	4	Närbild på lockets gångjärn och den vita tvättpåsen
e797e8a4	5	Närbild på bambuns ribbor och ett av benen
e797e8a4	3	Måttbild: tvättkorgen är 50 × 36 × 60 cm
e947f7aa	1	Vattenkokare i glas och rostfritt stål med tesil och knappar på basen
e947f7aa	2	Vattenkokaren lyser blått när den kokar, på en köksbänk i marmor
e947f7aa	5	Vattenkokaren på ett träbord bredvid en tekopp och en burk med teblad
e947f7aa	3	Måttbild: vattenkokaren är 26,3 cm hög
0598eff2	1	Vitt väggskåp med vågformad dörrkant i trä och ett öppet fack under
0598eff2	2	Väggskåpet på en badrumsvägg med tandborstar och flaskor i det öppna facket
0598eff2	4	Väggskåpet uppe till vänster i ett badrum med andra möbler i samma stil
0598eff2	5	Väggskåpet med öppen dörr och burkar med kryddor och nötter på hyllorna
0598eff2	3	Måttbild: väggskåpet är 30 × 17 × 67 cm
007c6422	1	Sängbord i rustikt brunt med svart metallram, öppna hyllor, sidoficka och grenuttag med sladd
007c6422	2	Sängbordet bredvid ett staffli, med färgburkar och böcker på hyllorna
007c6422	4	Sängbordet bredvid en säng med en lampa inkopplad i grenuttaget
007c6422	5	En man med dator i soffan bredvid sängbordet
007c6422	3	Måttbild: sängbordet är 60 × 29,8 × 58,5 cm och bär 21 kg
536e0244	1	Hopfällbar hage i grått och ljusblått med nätfönster, dörr och topplucka
536e0244	2	Hagen på en gräsmatta i en park med en hund inuti och en kvinna med en hund bredvid
536e0244	4	Hagen med öppen topplucka på en matta i ett vardagsrum
536e0244	5	Närbild på hagens nätfönster och sidofickor
7fdf42e9	1	Runt sidobord med ljus ekfärgad skiva, hylla i rökglas och svarta metallben
7fdf42e9	2	Sidobordet bredvid en beige soffa med en vas och en kaffekopp på skivan
7fdf42e9	4	Sidobordet bredvid en säng med böcker och en vas på skivan
7fdf42e9	5	Sidobordet bredvid en ljusgrå fåtölj med ett ljus och en vas på skivan
7fdf42e9	3	Måttbild: sidobordet är 41,8 × 39,8 × 53,5 cm och bär 15 kg
ad88f2b4	1	Smalt, tomt vedställ i svart stål med tvärstag mellan ramarna
ad88f2b4	2	Vedstället fullt med ved på en uteplats bredvid en murad eldstad
ad88f2b4	4	Närbild på ett hörn av vedställets svarta stålram
ad88f2b4	5	Vedstället med ved bredvid en öppen spis i ett vardagsrum
ad88f2b4	3	Måttbild: vedstället är 40 × 25 × 100 cm
e138b637	1	Lyftbock för motorcykel i rött stål med svart gummimatta och handtag
e138b637	2	En grön motorcykel upplyft på den röda lyftbocken på en gata
e138b637	4	Närbild på lyftmekanismen under plattformen
e138b637	5	Närbild på handtaget med svart gummigrepp
e138b637	3	Måttbild: lyftbocken är 48 × 34 × 43 cm och lyfter till 27,5 eller 39,5 cm
e7bbadb2	1	Tv-bänk i svart med två mörkgrå tyglådor och en öppen hylla
e7bbadb2	2	Tv-bänken med en tv, en spelkonsol och en förstärkare i ett ljust vardagsrum
e7bbadb2	4	Tv-bänken ovanifrån med öppna tyglådor
e7bbadb2	5	Tv-bänken med en tv, en radio och en spelkonsol mot en ljus vägg
e7bbadb2	3	Måttbild: tv-bänken är 98 × 29 × 56 cm och bär 41 kg
17595feb	1	Darttavla i sisal med svart skyddsring och sex pilar med blå och röda fjädrar
17595feb	2	En man kastar pil mot darttavlan i ett källarrum medan en kvinna tittar på
17595feb	4	En kvinna kastar pil mot darttavlan i ett vardagsrum
17595feb	5	En kvinna kastar pil mot darttavlan i ett ljust vardagsrum med en soffa
17595feb	3	Måttbild: tavlan är Ø45,5 cm och 71,5 cm med skyddsringen
261484e7	1	Gnistskydd i svart metallnät med välvd mittpanel och sidopaneler med handtag
261484e7	2	Gnistskyddet framför en öppen spis med vit omfattning och en julgran bredvid
261484e7	4	Närbild på det svarta metallnätet framför elden
261484e7	5	Gnistskyddet framför en öppen spis med vit spiselkrans och en fåtölj bredvid
261484e7	3	Måttbild: gnistskyddet är 110 cm brett utfällt och 76,5 cm högt
a6820dd0	1	Spökbrud med dödskalle, vit spetsslöja och vit dräkt med svart blommönster
a6820dd0	2	Spökbruden framför ett mörkt, övergivet hus
a6820dd0	4	Närbild på spökbrudens dödskalle med röda ögon under spetsslöjan
a6820dd0	5	Spökbruden i en hall bredvid pumpor och en lykta
a6820dd0	3	Måttbild: spökbruden är 178 cm hög
